segment_id	bertopic_topic	review_score	review_score_source
wikivir-003097::window::407	2	0.9021008576391386	centroid_cosine
wikivir-019181::window::174	2	0.9018695035603885	centroid_cosine
wikivir-017190::window::21	2	0.9006777737817727	centroid_cosine
wikivir-010836::window::133	2	0.9003605137627334	centroid_cosine
wikivir-015277::window::3	2	0.9001994555490295	centroid_cosine
wikivir-000966::window::208	2	0.8990683455984145	centroid_cosine
wikivir-016432::window::254	2	0.8545619171947708	centroid_cosine
wikivir-014520::window::166	2	0.8237368937304558	centroid_cosine
wikivir-000614::window::209	2	0.8335124981389455	centroid_cosine
wikivir-006981::window::12	2	0.8172510568399876	centroid_cosine
wikivir-020785::window::334	2	0.8416597536880832	centroid_cosine
wikivir-000868::window::77	2	0.8313755075377052	centroid_cosine
wikivir-016433::window::1138	2	0.8477969841735745	centroid_cosine
wikivir-006237::window::2	2	0.7683733178596632	centroid_cosine
wikivir-004607::window::67	2	0.7858625129332601	centroid_cosine
wikivir-002828::window::124	2	0.8139516803144896	centroid_cosine
wikivir-016976::window::288	3	0.9076053885205764	centroid_cosine
wikivir-016140::window::52	3	0.8990257398743204	centroid_cosine
wikivir-000708::window::43	3	0.898049996846867	centroid_cosine
wikivir-002995::window::33	3	0.8974073157498181	centroid_cosine
wikivir-004219::window::60	3	0.897000246701787	centroid_cosine
wikivir-014145::window::147	3	0.8955165234040395	centroid_cosine
wikivir-015056::window::384	3	0.8949472147374573	centroid_cosine
wikivir-003755::window::106	3	0.8940284946385488	centroid_cosine
wikivir-015041::window::237	3	0.8933756883167743	centroid_cosine
wikivir-004568::window::113	3	0.8930485006235429	centroid_cosine
wikivir-004539::window::72	3	0.8922629052783896	centroid_cosine
wikivir-000662::window::104	3	0.8918389754580018	centroid_cosine
wikivir-011687::window::14	3	0.890725573782054	centroid_cosine
wikivir-007000::window::20	3	0.8892626875003328	centroid_cosine
wikivir-012875::window::3	3	0.8888843311684849	centroid_cosine
wikivir-020083::window::26	3	0.8886296092562961	centroid_cosine
wikivir-002781::window::362	3	0.8883090978543369	centroid_cosine
wikivir-018492::window::8	3	0.8879578155747478	centroid_cosine
wikivir-017405::window::32	3	0.8878133234990919	centroid_cosine
wikivir-013408::window::51	3	0.8877541635888453	centroid_cosine
wikivir-011675::window::35	3	0.8876008953168057	centroid_cosine
wikivir-011729::window::354	3	0.8875498520030352	centroid_cosine
wikivir-009559::window::34	3	0.8869447016089367	centroid_cosine
wikivir-002718::window::12	3	0.8867400047419849	centroid_cosine
wikivir-000579::window::85	3	0.8865457211390793	centroid_cosine
wikivir-017405::window::26	3	0.8309932780379995	centroid_cosine
wikivir-003785::window::174	3	0.7776794995340897	centroid_cosine
wikivir-020259::window::8	3	0.8398446585694821	centroid_cosine
wikivir-016879::window::281	3	0.7773528713597738	centroid_cosine
wikivir-004482::window::118	3	0.7559817932356739	centroid_cosine
wikivir-013435::window::4	3	0.8008012229857165	centroid_cosine
wikivir-000811::window::91	3	0.7687574866918955	centroid_cosine
wikivir-000576::window::111	3	0.8268609008490174	centroid_cosine
wikivir-014333::window::38	3	0.7785273091785804	centroid_cosine
wikivir-014842::window::37	3	0.7117249457395705	centroid_cosine
wikivir-010840::window::277	4	0.9008650362885624	centroid_cosine
wikivir-000703::window::127	4	0.9003569055062439	centroid_cosine
wikivir-016181::window::7	4	0.8982405896400183	centroid_cosine
wikivir-020397::window::62	4	0.8887763495741821	centroid_cosine
wikivir-016183::window::97	4	0.8876695293997813	centroid_cosine
wikivir-016432::window::37	4	0.8874193317404088	centroid_cosine
wikivir-018448::window::40	4	0.887162384087075	centroid_cosine
wikivir-003858::window::76	4	0.887082350102715	centroid_cosine
wikivir-000942::window::96	4	0.8843222065886882	centroid_cosine
wikivir-011659::window::138	4	0.8830538539825059	centroid_cosine
wikivir-000821::window::15	4	0.8817416764936268	centroid_cosine
wikivir-015751::window::362	4	0.8817125840681276	centroid_cosine
wikivir-016433::window::63	4	0.8808672715395083	centroid_cosine
wikivir-016181::window::38	4	0.8806068970041855	centroid_cosine
wikivir-016063::window::22	4	0.8800042025248486	centroid_cosine
wikivir-018819::window::8	4	0.8790074434025432	centroid_cosine
wikivir-015659::window::264	4	0.8789305932096048	centroid_cosine
wikivir-016433::window::108	4	0.8781071028428971	centroid_cosine
wikivir-010348::window::264	4	0.87767882896153	centroid_cosine
wikivir-004461::window::82	4	0.8763942090231873	centroid_cosine
wikivir-002850::window::3	4	0.8763818324560065	centroid_cosine
wikivir-003858::window::144	4	0.875762522308441	centroid_cosine
wikivir-015360::window::4	4	0.8750683939159741	centroid_cosine
wikivir-000817::window::91	4	0.874925314316537	centroid_cosine
wikivir-014510::window::88	4	0.8747964433382979	centroid_cosine
wikivir-015428::window::36	4	0.7402869968553635	centroid_cosine
wikivir-016433::window::979	4	0.761002547001002	centroid_cosine
wikivir-016976::window::550	4	0.7958233454948005	centroid_cosine
wikivir-001025::window::117	4	0.7166086272289263	centroid_cosine
wikivir-002853::window::4	4	0.8364453336983602	centroid_cosine
wikivir-016101::window::38	4	0.8134894665495774	centroid_cosine
wikivir-015449::window::15	4	0.82828361766103	centroid_cosine
wikivir-017117::window::342	4	0.7171084278248168	centroid_cosine
wikivir-000626::window::118	4	0.8020641724758939	centroid_cosine
wikivir-015754::window::171	4	0.7121907911209895	centroid_cosine
wikivir-010764::window::375	5	0.9120805431869543	centroid_cosine
wikivir-013257::window::18	5	0.9105945221944582	centroid_cosine
wikivir-000691::window::92	5	0.910312398650428	centroid_cosine
wikivir-004228::window::60	5	0.9100144308154945	centroid_cosine
wikivir-003446::window::1	5	0.9099360380526826	centroid_cosine
wikivir-004461::window::95	5	0.9071432839905702	centroid_cosine
wikivir-003375::window::24	5	0.9043499580241723	centroid_cosine
wikivir-003843::window::3	5	0.9026110336460167	centroid_cosine
wikivir-016700::window::9	5	0.9000970581784544	centroid_cosine
wikivir-020032::window::7	5	0.8982105647931496	centroid_cosine
wikivir-001546::window::45	5	0.897548459441373	centroid_cosine
wikivir-016869::window::173	5	0.8954880111130434	centroid_cosine
wikivir-004186::window::18	5	0.8952871229526645	centroid_cosine
wikivir-002862::window::117	5	0.8938652050916037	centroid_cosine
wikivir-015517::window::8	5	0.8935928391775023	centroid_cosine
wikivir-014408::window::229	5	0.8935593181701704	centroid_cosine
wikivir-003446::window::36	5	0.8929871600732724	centroid_cosine
wikivir-002864::window::128	5	0.8917344560342044	centroid_cosine
wikivir-015734::window::20	5	0.8913240415234043	centroid_cosine
wikivir-006718::window::65	5	0.8911470197399092	centroid_cosine
wikivir-014520::window::207	5	0.8894339283362218	centroid_cosine
wikivir-016090::window::10	5	0.8888402468441039	centroid_cosine
wikivir-004570::window::321	5	0.8882980623623093	centroid_cosine
wikivir-016205::window::7	5	0.8874925762381813	centroid_cosine
wikivir-015056::window::338	5	0.8873699850265524	centroid_cosine
wikivir-001025::window::232	5	0.8135818223358646	centroid_cosine
wikivir-013202::window::26	5	0.6951551159462633	centroid_cosine
wikivir-003100::window::622	5	0.8163832369265037	centroid_cosine
wikivir-016490::window::7	5	0.7602433221629841	centroid_cosine
wikivir-018569::window::16	5	0.7584977774586034	centroid_cosine
wikivir-002463::window::2	5	0.6934621011693249	centroid_cosine
wikivir-017079::window::104	5	0.7914087121463167	centroid_cosine
wikivir-004475::window::110	5	0.7803922921441268	centroid_cosine
wikivir-006357::window::20	5	0.7692895963403257	centroid_cosine
wikivir-001546::window::49	5	0.8056183465327569	centroid_cosine
wikivir-016878::window::596	6	0.9087754873726823	centroid_cosine
wikivir-014279::window::11	6	0.9027841609315159	centroid_cosine
wikivir-006724::window::38	6	0.8973518066552297	centroid_cosine
wikivir-016976::window::299	6	0.8905027110867239	centroid_cosine
wikivir-000931::window::149	6	0.8871026754908269	centroid_cosine
wikivir-004739::window::276	6	0.8856437081552229	centroid_cosine
wikivir-004739::window::269	6	0.8855124448016201	centroid_cosine
wikivir-004419::window::63	6	0.8842239221842221	centroid_cosine
wikivir-014333::window::85	6	0.8839202186904946	centroid_cosine
wikivir-004200::window::143	6	0.8828059064261795	centroid_cosine
wikivir-000605::window::101	6	0.8811790982875867	centroid_cosine
wikivir-004200::window::90	6	0.8805261379511989	centroid_cosine
wikivir-016878::window::1968	6	0.8794205243011368	centroid_cosine
wikivir-017380::window::155	6	0.8783484688815828	centroid_cosine
wikivir-012556::window::4	6	0.8782759776608711	centroid_cosine
wikivir-001452::window::182	6	0.8777240336234122	centroid_cosine
wikivir-019705::window::7	6	0.8776007185078891	centroid_cosine
wikivir-014399::window::84	6	0.8762556222998509	centroid_cosine
wikivir-001452::window::198	6	0.8762534600838745	centroid_cosine
wikivir-002781::window::356	6	0.8759595606053445	centroid_cosine
wikivir-004347::window::301	6	0.8758816874113746	centroid_cosine
wikivir-016879::window::240	6	0.8756355337416931	centroid_cosine
wikivir-015733::window::370	6	0.875502996745958	centroid_cosine
wikivir-011670::window::120	6	0.8750750356622938	centroid_cosine
wikivir-016893::window::1385	6	0.8743462341777206	centroid_cosine
wikivir-020299::window::531	6	0.7132818592389834	centroid_cosine
wikivir-007725::window::7	6	0.7108350138343522	centroid_cosine
wikivir-000947::window::512	6	0.7023323032154264	centroid_cosine
wikivir-017154::window::679	6	0.7301487396799355	centroid_cosine
wikivir-010169::window::201	6	0.684679913690001	centroid_cosine
